"x","cent3","cent10","cent25","cent50","cent75","cent90","cent97"
12,8.44279527166758,16.1409228678353,23.9870358782656,32.9407962296871,43.3679775228628,56.0185227585272,75.318507721887
13,12.2833220291072,21.2903796501619,30.1745141413292,40.1684906077134,51.5742114391381,64.9657350007816,84.4667822369067
14,17.1707164306296,27.5687752856154,37.6294896486854,48.8485649970842,61.4501269757429,75.8404923427021,95.973746216563
15,23.0714655841234,34.9911571338814,46.4242558746033,59.1211823815999,73.2109777927228,88.9309019939816,110.183740695408
16,29.8882438705699,43.4789212049425,56.4930936180767,70.932886785596,86.8111026606286,104.183693417798,126.989796290724
17,37.4336563894261,52.7657862986057,67.4805177603455,83.8222505670593,101.664515219055,120.862699884745,145.428099021885
18,45.4943238689845,62.5440777098909,78.9768064552648,97.2603303115477,117.108172856186,138.15665004368,164.489443396844
19,53.8239178388022,72.4886003092101,90.5751092573831,110.748253840212,132.546208638696,155.373083425067,183.369784203612
20,62.0674798432805,82.2234765932577,101.884541456532,123.886677831675,147.582635866095,172.135185418763,201.73622529622
21,69.4814162426699,91.1100086973722,112.391266348962,136.324222291409,162.064710699035,188.51788330693,219.960169297053
22,75.2416746031208,98.5158815935145,121.684398246739,147.931915357784,176.196471816812,205.08849734763,239.053611893153
23,78.787497144289,104.059778210017,129.604764162496,158.84652937756,190.470942966606,222.726162827179,260.355885095696
24,80.3257887311645,107.836051171662,136.15889222345,169.007018026942,204.783003757711,241.295027299152,283.692099946397
25,81.1256754122212,110.848036882126,142.058510733655,178.786551923452,219.143683894918,260.439914624325,308.276170836133
26,83.2766290389633,114.929265935164,148.779694031325,189.17959872572,233.979065886953,279.982737710343,333.212595230438
27,88.0673249576581,121.304623414318,157.395076945476,201.011178885583,249.796920661243,300.087057654887,358.263549239903
28,96.233822390447,130.794634408493,168.7696177045,215.154017938738,267.447668827306,321.570439530973,384.215651852845
29,108.135369458121,143.893607932653,183.541419470236,232.407483273303,287.902962886731,345.585875911988,412.448314981547
30,123.755830275364,160.547779852071,201.622955628399,252.638510104783,310.973891468089,371.890346025833,442.67074535383
31,142.549647009744,180.104443823215,222.261326414525,274.976934350038,335.659582724616,399.354106454728,473.620767982993
32,163.111404161382,201.045726407147,243.842103801257,297.70800793114,360.145154943876,426.072962338044,503.314083688902
33,182.831439337316,220.707378041409,263.677732417035,318.15051573774,381.7896569016,449.479089993019,529.306471902424
34,199.728146573456,237.177573431904,279.948298952045,334.615835959091,399.074845381219,468.255765935788,550.550054213093
35,213.589775094684,250.458385100558,292.886812328304,347.618804207682,412.836315008545,483.578706229149,568.633825181208
36,226.603176820336,263.107642372784,305.448313035961,360.590461029988,427.030774221409,499.938434020838,588.661499790317
37,241.399365760076,278.057812458487,320.898990526161,377.210844605079,445.810901988468,521.981872929907,615.863168446804
38,259.839216547029,297.202063800788,341.147777326269,399.376068947521,471.008356260185,551.412216888416,651.716043430451
39,281.354163815009,319.454618085595,364.438089590573,424.338773952393,498.500331038159,582.36341356493,687.899503104882
40,303.166770138804,341.67969297003,387.226986527943,448.027074890973,523.559217597947,609.33898856768,717.87551956668
41,322.641491217338,361.184547558139,406.814678004442,467.82240618669,543.791059115893,630.33818534106,740.310204833624
