"x","cent3","cent10","cent25","cent50","cent75","cent90","cent97"
12,0.615381454091025,0.814280550485746,1.00204843487882,1.21061181134744,1.44320949445062,1.70437499056212,2.06036233528839
13,0.67414710474306,0.88253057368271,1.08112824101824,1.30348340596268,1.55266748000214,1.83278546667155,2.21401781503556
14,0.736772395370466,0.954902170385395,1.16471502498333,1.40145238566358,1.66802870101169,1.9680827217445,2.37590541519471
15,0.801014714855579,1.02850864182637,1.24928771386059,1.50027414380217,1.78423123920123,2.10428515244747,2.53879398134154
16,0.863232529932493,1.09879757166991,1.32937489499576,1.59340234750794,1.89349062714208,2.23220086194941,2.69157411412531
17,0.919246835389408,1.16068747795341,1.39895476429358,1.6736831828669,1.98732210371463,2.34181681293337,2.8221453080873
18,0.966484098293148,1.2112458589284,1.45466970613928,1.73719598511641,2.06110093777122,2.42767489638278,2.92389818886994
19,1.00479370964422,1.25058776965594,1.49683456928813,1.7844188708458,2.11543439095966,2.49049502727229,2.99769154938067
20,1.03648072419677,1.28179802629947,1.52927295261217,1.81999170605702,2.15586396954753,2.5368235871473,3.05143675317614
21,1.06372171342267,1.30768162497717,1.55540503465619,1.84803550519357,2.18730438930375,2.57247456618066,3.09218260349359
22,1.08882835726125,1.33114974164937,1.57874059409002,1.87275240477016,2.21474573891508,2.60332385316868,3.12699847683716
23,1.11445537597417,1.35549493899554,1.60321703420649,1.89883082204102,2.24372731460804,2.63584977168403,3.16358730459196
24,1.14331817652424,1.38403263603886,1.63276610386495,1.93092767336316,2.27972743395129,2.67642549575038,3.20945941274759
25,1.17662202027633,1.41818900130546,1.66905189040785,1.97099267232775,2.32501455554367,2.72764875997426,3.26759171859676
26,1.21353798660568,1.45691322706696,1.71080709536611,2.01750466404411,2.37776309015447,2.78732533955332,3.33525038389823
27,1.25231775726842,1.49806853899941,1.75550057037576,2.06746136349443,2.43441263349686,2.85124511623271,3.40732764025401
28,1.29123959184894,1.53957749100807,1.80068885959295,2.11797839666144,2.49155687415722,2.91540111594675,3.47900500419229
29,1.32914168932987,1.58004787491834,1.84474202108827,2.16713946998359,2.54694317919689,2.97716121770087,3.54715637043752
30,1.36593135733055,1.61935823210066,1.88751410722116,2.21477512974203,2.60038308153874,3.03633013554914,3.61161051798971
31,1.40176989289881,1.65768995823083,1.92921282482232,2.2611310874634,2.65217585134957,3.09328291033797,3.67287621300695
32,1.43635037092549,1.69467115906831,1.96940180820525,2.3056977766904,2.70173455824496,3.14736084419406,3.73023413776655
33,1.46781148383622,1.7280926312658,2.00550785542513,2.34546569445949,2.74555179078474,3.19452226625804,3.7789944762723
34,1.49459691298752,1.75611167609036,2.03538950151923,2.37793944404094,2.7807387155763,3.23147462897361,3.81540929128094
35,1.51713295844045,1.77922323739009,2.05962081915452,2.40380246872995,2.80813181444862,3.25926559568521,3.84087195488573
36,1.53996205721534,1.80275306791379,2.08436860237984,2.43026030656192,2.83616974080567,3.2877308648043,3.86705717808615
37,1.56622554948676,1.83036521231546,2.11385994074424,2.46223400215046,2.87058904314733,3.32351380394195,3.90176938740464
38,1.59612004077893,1.8622705142184,2.14832358044283,2.49997455126259,2.91166220361888,3.36690024136578,3.94529107000203
39,1.62642744447821,1.89469713801125,2.18339541086887,2.53839150746831,2.95344768943776,3.41100371824491,3.98952683414461
40,1.65538458281509,1.92558044960454,2.21668970424677,2.57470924369723,2.99272148233258,3.45211618913568,4.03017281536366
41,1.68302674028337,1.95494936410081,2.24823321795439,2.60895987380436,3.02953512992929,3.49032903537374,4.06739927226612
