"x","cent3","cent10","cent25","cent50","cent75","cent90","cent97"
12,2.09235747040403,2.73570013914948,3.42938613422866,4.2758288525812,5.25197332443932,6.31003814083,7.62089517901981
13,2.33424269016602,3.07788123654271,3.84230376437937,4.73118921887103,5.70686451720418,6.71520944059956,7.90610345223594
14,2.61092038173628,3.46227823208468,4.2990949723206,5.23225680971689,6.21611721390765,7.1962240916829,8.31375227394525
15,2.93106410294809,3.89203535548806,4.80177435080536,5.78283393772464,6.78584915975881,7.75840077303076,8.83993067283286
16,3.29813202789449,4.36441098022074,5.34566085301544,6.37817425321249,7.41092404172773,8.39370789515885,9.46822199401577
17,3.70480855064722,4.86558821729432,5.91292571621565,6.99679383155125,8.06524696409794,9.06961092841441,10.1557418825024
18,4.14096365308004,5.38213456877281,6.48803439265872,7.62096581584638,8.72808656505208,9.76123612672086,10.871269190154
19,4.59544138674352,5.90207872239708,7.05894611605878,8.2385681489834,9.3867916513542,10.4547822772272,11.5988823422123
20,5.05531038326618,6.41339236333132,7.61524809950974,8.84110912880861,10.0347746723149,11.1453498007548,12.3353256913912
21,5.50003538034558,6.8956048033459,8.13713545318336,9.40977734060052,10.6544649959814,11.8167691124577,13.0661987313483
22,5.90890859736337,7.32693485541552,8.60184073606946,9.92088596682514,11.2215774828007,12.444607045101,13.7674517889882
23,6.26620270852488,7.69044896621102,8.99020980213535,10.3524605351837,11.7113385339715,13.0017639764661,14.4100450163801
24,6.56059670397928,7.97741130611274,9.2932213486964,10.6935053986324,12.1098553250897,13.4712644541991,14.973700529413
25,6.8080599647497,8.20903712341654,9.53467577892452,10.9691300785687,12.4427834985603,13.8790876445143,15.4850046766958
26,7.04972786884569,8.43221053097963,9.76560012537067,11.2341196003144,12.7685885374228,14.2876211911473,16.0116371108258
27,7.30288021709847,8.66515140265695,10.0039958073925,11.5054322750662,13.1028149672696,14.7112718897823,16.5677061080868
28,7.58180312563271,8.92190110521496,10.2630984825518,11.7949295861287,13.455795484851,15.1593942408789,17.1629857517994
29,7.90623249851733,9.22230897969411,10.5626852065029,12.1221256717012,13.8470051093327,15.6524473076958,17.8215921200662
30,8.2987084845448,9.5896331492795,10.9262018022111,12.5099817453414,14.2985042760814,16.212140090937,18.5673790796264
31,8.76639591724332,10.031498780512,11.3603455115814,12.9619687751862,14.8076412565571,16.8273657403856,19.3783915042788
32,9.29517675589366,10.5338269229039,11.8493758202665,13.4572079624413,15.3428741037789,17.4493083909374,20.1772303684099
33,9.85038208182831,11.0624967936681,12.3587843058963,13.9581176502878,15.857915753014,18.0141709248509,20.8644450219573
34,10.3772051853271,11.5620782666174,12.832496650573,14.4067331841352,16.2892216863814,18.445400019782,21.3320323819373
35,10.8149736873594,11.9712130138413,13.2092922445206,14.7426511938161,16.5771013950723,18.6817987659447,21.5090839102534
36,11.1344605547222,12.2628141310878,13.4659562000931,14.9496926848485,16.7167956388445,18.7350876502479,21.4334468608249
37,11.3716732364512,12.4807394827647,13.6559259491544,15.0950864824819,16.795150104753,18.7191641650083,21.2634915741669
38,11.5979505099538,12.7050580505008,13.8690958361481,15.2818991935939,16.9329471408005,18.778473837735,21.1823525972394
39,11.8543957235012,12.9786023435305,14.1502170507738,15.557689005485,17.1822324180164,18.9724028118089,21.2640748416658
40,12.1399907739726,13.2967339315173,14.4910325669412,15.910339998813,17.527500496067,19.2835378605131,21.4923465198887
41,12.4342725681897,13.6328020578377,14.8586704779341,16.2999867017116,17.9216452318399,19.6579466879935,21.8062137841372
